game_id,image_id,rep_num,displacement,prev_success
0,0,2,0.5383958220481873,True
0,0,3,0.3803268373012543,True
0,0,4,0.0,True
0,0,5,0.0,True
0,0,6,0.0,True
0,1,2,0.7126752138137817,True
0,1,3,0.508282482624054,True
0,1,4,0.2501034140586853,True
0,1,5,0.47223785519599915,True
0,1,6,0.1678931713104248,True
0,2,2,0.5440404415130615,True
0,2,3,0.0,True
0,2,4,0.3172837793827057,True
0,2,5,0.3172837793827057,True
0,2,6,0.0,True
0,3,2,0.5991164445877075,True
0,3,3,0.0,True
0,3,4,0.0,True
0,3,5,0.0,True
0,3,6,0.0,True
0,4,2,0.345930814743042,True
0,4,3,0.0,True
0,4,4,0.0,True
0,4,5,0.0,True
0,4,6,0.0,True
0,5,2,0.5629997253417969,True
0,5,3,0.6137797832489014,True
0,5,4,0.3247722089290619,True
0,5,5,0.0,True
0,5,6,0.0,True
0,6,2,0.58555668592453,True
0,6,3,0.44270768761634827,True
0,6,4,0.5745023488998413,True
0,6,5,0.0,True
0,6,6,0.14286209642887115,True
0,7,2,0.33498242497444153,True
0,7,3,0.3860172629356384,True
0,7,4,0.2402358055114746,True
0,7,5,0.5456342697143555,True
0,7,6,0.2223040759563446,True
0,8,2,0.46802818775177,True
0,8,3,0.43733543157577515,True
0,8,4,0.0,True
0,8,5,0.0,True
0,8,6,0.0,True
0,9,2,0.5212850570678711,True
0,9,3,0.607811689376831,True
0,9,4,0.5479544997215271,True
0,9,5,0.0,True
0,9,6,0.44832438230514526,True
0,10,2,0.653311014175415,True
0,10,3,0.0,True
0,10,4,0.3187849819660187,True
0,10,5,0.3187849819660187,True
0,10,6,0.0,True
0,11,2,0.5704516172409058,True
0,11,3,0.31635186076164246,True
0,11,4,0.31635186076164246,True
0,11,5,0.0,True
0,11,6,0.0,True
1,0,2,0.5366183519363403,True
1,0,3,0.0,True
1,0,4,0.0,True
1,0,5,0.0,True
1,0,6,0.37427079677581787,True
1,1,2,0.2958080768585205,False
1,1,3,0.5599782466888428,True
1,1,4,0.5634924173355103,False
1,1,5,0.4568137526512146,True
1,1,6,0.37663790583610535,True
1,2,2,0.5558733940124512,True
1,2,3,0.7838559150695801,True
1,2,4,0.0,True
1,2,5,0.0,True
1,2,6,0.315285861492157,True
1,3,2,0.3598453104496002,True
1,3,3,0.4493314027786255,True
1,3,4,0.2575133442878723,True
1,3,5,0.4619596302509308,True
1,3,6,0.5097326636314392,True
1,4,2,0.5310968160629272,True
1,4,3,0.14628930389881134,True
1,4,4,0.50700843334198,True
1,4,5,0.3952605128288269,True
1,4,6,0.0,True
1,5,2,0.3213919401168823,True
1,5,3,0.44727182388305664,True
1,5,4,0.0,True
1,5,5,0.0,True
1,5,6,0.0,True
1,6,2,0.6983357071876526,False
1,6,3,0.4693004786968231,True
1,6,4,0.5300883054733276,False
1,6,5,0.6490266919136047,False
1,6,6,0.5600978136062622,True
1,7,2,0.7291529178619385,False
1,7,3,0.9284185171127319,True
1,7,4,0.0,True
1,7,5,0.34462684392929077,True
1,7,6,0.37580129504203796,True
1,8,2,0.7308441996574402,True
1,8,3,0.6531865000724792,True
1,8,4,0.27996036410331726,True
1,8,5,0.328220009803772,True
1,8,6,0.1782606542110443,True
1,9,2,0.455457866191864,True
1,9,3,0.47406110167503357,True
1,9,4,0.44272366166114807,True
1,9,5,0.0,True
1,9,6,0.39850956201553345,True
1,10,2,0.5811220407485962,True
1,10,3,0.8670458793640137,True
1,10,4,0.6285049319267273,True
1,10,5,0.8564473390579224,True
1,10,6,0.4656386971473694,True
1,11,2,0.774987518787384,False
1,11,3,0.44503986835479736,False
1,11,4,0.5549496412277222,True
1,11,5,0.9555227160453796,False
1,11,6,0.773371160030365,False
2,0,2,0.32000085711479187,True
2,0,3,0.4423724114894867,True
2,0,4,0.4423724114894867,True
2,0,5,0.0,True
2,0,6,0.0,True
2,1,2,0.17371921241283417,True
2,1,3,0.5233922004699707,True
2,1,4,0.45963138341903687,True
2,1,5,0.43930530548095703,False
2,1,6,0.5599905848503113,True
2,2,2,0.22146877646446228,True
2,2,3,0.15387874841690063,True
2,2,4,0.5435830354690552,True
2,2,5,0.46492063999176025,False
2,2,6,0.3612201511859894,True
2,3,2,0.5264534950256348,True
2,3,3,0.47951197624206543,False
2,3,4,0.4139980673789978,False
2,3,5,0.4586784839630127,False
2,3,6,0.0,True
2,4,2,0.4171176254749298,True
2,4,3,0.4025155305862427,True
2,4,4,0.181006520986557,True
2,4,5,0.18694691359996796,True
2,4,6,0.32019174098968506,True
2,5,2,0.5204145312309265,True
2,5,3,0.45394691824913025,False
2,5,4,0.4431213438510895,True
2,5,5,0.4617801904678345,True
2,5,6,0.3501875400543213,True
2,6,2,0.5295410752296448,False
2,6,3,0.6003631949424744,False
2,6,4,0.3807183504104614,False
2,6,5,0.24370795488357544,True
2,6,6,0.3268429934978485,False
2,7,2,0.48078498244285583,True
2,7,3,0.5344059467315674,True
2,7,4,0.6115928292274475,True
2,7,5,0.7601929306983948,True
2,7,6,0.5269712805747986,True
2,8,2,0.3813396096229553,True
2,8,3,0.20260515809059143,True
2,8,4,0.47411924600601196,True
2,8,5,0.0,False
2,8,6,0.44559943675994873,False
2,9,2,0.6933870315551758,True
2,9,3,0.7021674513816833,True
2,9,4,0.34474897384643555,False
2,9,5,0.5073503851890564,True
2,9,6,0.31490403413772583,True
2,10,2,0.4423888623714447,False
2,10,3,0.36532190442085266,True
2,10,4,0.5148845314979553,False
2,10,5,0.3231106996536255,False
2,10,6,0.6060377359390259,True
2,11,2,0.39991992712020874,True
2,11,3,0.6603628396987915,False
2,11,4,0.6109474301338196,False
2,11,5,0.4356732666492462,False
2,11,6,0.48112770915031433,True
3,0,2,0.553251326084137,True
3,0,3,0.4251263737678528,True
3,0,4,0.33444881439208984,True
3,0,5,0.1725446879863739,True
3,0,6,0.3862200677394867,True
3,1,2,0.45166030526161194,False
3,1,3,0.45868921279907227,True
3,1,4,0.41107413172721863,True
