game_id,image_id,rep_num,step_size
0,0,2,0.18160465359687805
0,0,3,0.11113618314266205
0,0,4,0.064235158264637
0,0,5,0.04185036942362785
0,0,6,0.02943035215139389
0,1,2,0.20289874076843262
0,1,3,0.11573079973459244
0,1,4,0.0769888162612915
0,1,5,0.0784313902258873
0,1,6,0.0565449595451355
0,2,2,0.16772960126399994
0,2,3,0.07801494747400284
0,2,4,0.07002025097608566
0,2,5,0.03438323363661766
0,2,6,0.02417925000190735
0,3,2,0.17746299505233765
0,3,3,0.08254216611385345
0,3,4,0.047708217054605484
0,3,5,0.031082766130566597
0,3,6,0.021858273074030876
0,4,2,0.1159524992108345
0,4,3,0.05393221601843834
0,4,4,0.03117205947637558
0,4,5,0.020309163257479668
0,4,6,0.014281971380114555
0,5,2,0.184819757938385
0,5,3,0.13881945610046387
0,5,4,0.08822481334209442
0,5,5,0.057480063289403915
0,5,6,0.040421586483716965
0,6,2,0.186748206615448
0,6,3,0.09372967481613159
0,6,4,0.10247901827096939
0,6,5,0.06676694005727768
0,6,6,0.044597893953323364
0,7,2,0.11277762800455093
0,7,3,0.08525832742452621
0,7,4,0.06627462059259415
0,7,5,0.07513721287250519
0,7,6,0.0558142326772213
0,8,2,0.1496283859014511
0,8,3,0.11361553519964218
0,8,4,0.06566818803548813
0,8,5,0.04278401657938957
0,8,6,0.03008691594004631
0,9,2,0.17416949570178986
0,9,3,0.12426137924194336
0,9,4,0.06844818592071533
0,9,5,0.044595226645469666
0,9,6,0.05819208174943924
0,10,2,0.18602240085601807
0,10,3,0.08652335405349731
0,10,4,0.06138160452246666
0,10,5,0.03960803523659706
0,10,6,0.027853475883603096
0,11,2,0.18082021176815033
0,11,3,0.09495984017848969
0,11,4,0.05759861320257187
0,11,5,0.03752654045820236
0,11,6,0.0263897143304348
1,0,2,0.1595526486635208
1,0,3,0.07421164214611053
1,0,4,0.042893290519714355
1,0,5,0.027945760637521744
1,0,6,0.05335031822323799
1,1,2,0.24429617822170258
1,1,3,0.047799933701753616
1,1,4,0.09473832696676254
1,1,5,0.0835961326956749
1,1,6,0.06640227138996124
1,2,2,0.22535860538482666
1,2,3,0.15118682384490967
1,2,4,0.08738387376070023
1,2,5,0.05693218111991882
1,2,6,0.0555148646235466
1,3,2,0.11958342045545578
1,3,3,0.10945307463407516
1,3,4,0.0774519145488739
1,3,5,0.07962918281555176
1,3,6,0.018469305709004402
1,4,2,0.15899233520030975
1,4,3,0.08135850727558136
1,4,4,0.09700555354356766
1,4,5,0.06866801530122757
1,4,6,0.04828926920890808
1,5,2,0.10283789783716202
1,5,3,0.0956273004412651
1,5,4,0.05527123808860779
1,5,5,0.03601021692156792
1,5,6,0.02532339096069336
1,6,2,0.29167476296424866
1,6,3,0.044339485466480255
1,6,4,0.043258897960186005
1,6,5,0.16709214448928833
1,6,6,0.11961398273706436
1,7,2,0.31802260875701904
1,7,3,0.24218522012233734
1,7,4,0.1205984577536583
1,7,5,0.08313610404729843
1,7,6,0.056648097932338715
1,8,2,0.23545676469802856
1,8,3,0.14279234409332275
1,8,4,0.08325310796499252
1,8,5,0.06307076662778854
1,8,6,0.05587443336844444
1,9,2,0.14436165988445282
1,9,3,0.10215069353580475
1,9,4,0.07402391731739044
1,9,5,0.04822792857885361
1,9,6,0.046647801995277405
1,10,2,0.1625775843858719
1,10,3,0.21632319688796997
1,10,4,0.1437288522720337
1,10,5,0.11077044159173965
1,10,6,0.07958851009607315
1,11,2,0.13062864542007446
1,11,3,0.26144397258758545
1,11,4,0.05668961629271507
1,11,5,0.05752148479223251
1,11,6,0.15892384946346283
2,0,2,0.12530049681663513
2,0,3,0.11313425749540329
2,0,4,0.048147011548280716
2,0,5,0.03136865422129631
2,0,6,0.022059312090277672
2,1,2,0.0788370817899704
2,1,3,0.1258518099784851
2,1,4,0.019871218129992485
2,1,5,0.09160348773002625
2,1,6,0.018263185396790504
2,2,2,0.08596424758434296
2,2,3,0.04218684881925583
2,2,4,0.030747251585125923
2,2,5,0.06858161836862564
2,2,6,0.07325813919305801
2,3,2,0.05520850419998169
2,3,3,0.055685240775346756
2,3,4,0.04577700421214104
2,3,5,0.11923742294311523
2,3,6,0.0659215971827507
2,4,2,0.12323430925607681
2,4,3,0.0705280676484108
2,4,4,0.03773891553282738
2,4,5,0.04169614240527153
2,4,6,0.011692393571138382
2,5,2,0.060741160064935684
2,5,3,0.13753457367420197
2,5,4,0.05980614945292473
2,5,5,0.07112091779708862
2,5,6,0.060820478945970535
2,6,2,0.09824907779693604
2,6,3,0.0744677260518074
2,6,4,0.13693319261074066
2,6,5,0.023125121369957924
2,6,6,0.0852847471833229
2,7,2,0.1443454921245575
